"No.","Time","Source","Destination","Protocol","Length","Info"
"181","11.814706","193.251.130.59","192.168.43.92","TCP","54","[TCP Previous segment not captured] 80  >  3135 [FIN, ACK] Seq=560 Ack=155 Win=8222592 Len=0"
"182","11.814740","192.168.43.92","193.251.130.59","TCP","54","[TCP Dup ACK 175#1] 3135  >  80 [ACK] Seq=155 Ack=1 Win=65792 Len=0"
"183","11.822658","193.251.130.59","192.168.43.92","TCP","591","[TCP Out-Of-Order] 80  >  3135 [PSH, ACK] Seq=1 Ack=155 Win=8222592 Len=537"
"184","11.822761","193.251.130.59","192.168.43.92","TCP","76","[TCP Out-Of-Order] 80  >  3135 [PSH, ACK] Seq=538 Ack=155 Win=8222592 Len=22"
"185","11.822830","192.168.43.92","193.251.130.59","TCP","54","3135  >  80 [ACK] Seq=155 Ack=560 Win=65024 Len=0"
"186","11.823857","192.168.43.92","193.251.130.59","TCP","54","3135  >  80 [ACK] Seq=155 Ack=561 Win=65024 Len=0"
"187","11.823944","192.168.43.92","193.251.130.59","TCP","54","3135  >  80 [RST, ACK] Seq=155 Ack=561 Win=0 Len=0"
"188","12.026072","193.251.130.40","192.168.43.92","TCP","54","[TCP Previous segment not captured] 80  >  3134 [FIN, ACK] Seq=188 Ack=155 Win=64128 Len=0"
"189","12.026166","192.168.43.92","193.251.130.40","TCP","54","[TCP Dup ACK 179#1] 3134  >  80 [ACK] Seq=155 Ack=1 Win=65792 Len=0"
"190","12.028175","193.251.130.40","192.168.43.92","TCP","241","[TCP Out-Of-Order] 80  >  3134 [PSH, ACK] Seq=1 Ack=155 Win=64128 Len=187"
"191","12.030184","192.168.43.92","193.251.130.40","TCP","54","3134  >  80 [ACK] Seq=155 Ack=189 Win=65536 Len=0"
"192","12.030339","192.168.43.92","193.251.130.40","TCP","54","3134  >  80 [FIN, ACK] Seq=155 Ack=189 Win=65536 Len=0"
"193","12.030460","192.168.43.92","193.251.130.40","TCP","54","3134  >  80 [RST, ACK] Seq=156 Ack=189 Win=0 Len=0"
"194","12.264051","193.251.130.40","192.168.43.92","TCP","54","80  >  3134 [ACK] Seq=189 Ack=156 Win=64128 Len=0"
"195","12.549699","190.92.127.164","192.168.43.92","TCP","1454","443  >  2324 [ACK] Seq=28341 Ack=2396 Win=42 Len=1400 [TCP segment of a reassembled PDU]"
"196","12.551033","190.92.127.164","192.168.43.92","TLSv1.2","1317","Application Data"
"197","12.551113","192.168.43.92","190.92.127.164","TCP","54","2324  >  443 [ACK] Seq=2396 Ack=31004 Win=257 Len=0"
"198","13.067924","192.168.43.92","192.168.43.209","DNS","76","Standard query 0xd3cf A fs.microsoft.com"
